Acad of Enter	ET 88C,FRIA C T 	ET 88C	FRIA C T 					1
Communicatio	COM ST 11,LEMONDS B W	COM ST 11	LEMONDS B W	8	17	2		30
Communicatio	COM ST 11,CAMPFIELD A E	COM ST 11	CAMPFIELD A E	15	8	4		34
Communicatio	COM ST 11,HOWARD B	COM ST 11	HOWARD B	9	13	9		37
Communicatio	COM ST 11,FARSCHMAN K V	COM ST 11	FARSCHMAN K V	19	7	1		32
Communicatio	COM ST 11,HOWARD B	COM ST 11	HOWARD B	8	17	6		35
Communicatio	COM ST 12,FLORES C A	COM ST 12	FLORES C A	9	10	10		35
Communicatio	COM ST 13,MCNAMARA C V	COM ST 13	MCNAMARA C V	16	10	4		36
Communicatio	COM ST 14,CORDES A L	COM ST 14	CORDES A L	11	8	3		31
Communicatio	COM ST 16,EVANS J D	COM ST 16	EVANS J D	36	1	1		41
Communicatio	COM ST 16,FLORES C A	COM ST 16	FLORES C A	8	12	4		34
Communicatio	COM ST 16,MEGA M A	COM ST 16	MEGA M A	8	15	8		35
Communicatio	COM ST 21,BROWN N A	COM ST 21	BROWN N A	16	4			24
Communicatio	COM ST 21,EVANS J D	COM ST 21	EVANS J D	40	6			48
Communicatio	COM ST 21,BROWN N A	COM ST 21	BROWN N A	10	8	4		32
Communicatio	COM ST 31,GARCIA E P	COM ST 31	GARCIA E P	9	7	2		23
Communicatio	COM ST 35,KRAUT D S	COM ST 35	KRAUT D S	12	3	9		27
Communicatio	COM ST 35,SADEGHI‐TABRIZI F	COM ST 35	SADEGHI‐TABRIZI F	2	15	11		35
Communicatio	COM ST 35,OGATA D K	COM ST 35	OGATA D K	45	6	2		58
Communicatio	COM ST 35,KRAUT D S	COM ST 35	KRAUT D S	11	10	1		27
Communicatio	COM ST 35,CHEKROUN J	COM ST 35	CHEKROUN J	7	18	4		33
Communicatio	COM ST 35,KRAUT D S	COM ST 35	KRAUT D S	16	4	1		23
Communicatio	COM ST 35,OGATA D K	COM ST 35	OGATA D K	52	4	6		65
Communicatio	COM ST 35,KRAUT D S	COM ST 35	KRAUT D S	20	5	3		30
Communicatio	COM ST 35,KRAUT D S	COM ST 35	KRAUT D S	18	7	5		32
Communicatio	COM ST 35,BROCCARD D	COM ST 35	BROCCARD D	16	16	3		39
Communicatio	COM ST 35,MEGA M A	COM ST 35	MEGA M A	3	8	12		34
Communicatio	COM ST 35,SMITH H A	COM ST 35	SMITH H A	6	4	7		23
Communicatio	COM ST 35,SMITH H A	COM ST 35	SMITH H A	5	13	5		29
Communicatio	COM ST 35,SMITH H A	COM ST 35	SMITH H A	9	4	5		26
Communicatio	COM ST 35,BROWN N A	COM ST 35	BROWN N A	7	8	2		24
Communicatio	COM ST 35,BROWN N A	COM ST 35	BROWN N A	13	10			27
Communicatio	COM ST 35,WALKER D A	COM ST 35	WALKER D A	15	9	2		31
Communicatio	COM ST 35,BROWN N A	COM ST 35	BROWN N A	4	2	3		17
Communicatio	COM ST 35,SOLOMON CH	COM ST 35	SOLOMON CH	7	6	6	1	34
